,Model_Name,Original_Price,Price_After_Sale,Processor,GPU,Memory,Hard_drive,LCD,Offer_Points,Stars
37,inspiron-14-5425,£749.00,£669.00,"""AMD Ryzen™ 7 5825U 8-core/16-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",669,4.2
38,inspiron-14-7425-2-in-1,£729.00,£679.00,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",679,4.3
39,inspiron-14-7425-2-in-1,£679.00,Nan,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",679,4.3
40,inspiron-14-7425-2-in-1,£742.80,£682.80,"""AMD Ryzen™ 5 5625U 6-core/12-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",682,4.3
41,inspiron-16-5625,£768.99,£688.99,"""AMD Ryzen™ 7 5825U 8-core/16-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",688,4.1
42,inspiron-15-5510,£766.80,£694.80,"""11th Gen Intel® Core™ i5-11320H (8 MB cache, 4 cores, 8 threads, up to 4.50 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",694,4.2
43,inspiron-15-5510,£799.00,£699.00,"""11th Gen Intel® Core™ i7-11390H (12 MB cache, 4 cores, 8 threads, up to 5.00 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",699,4.2
44,inspiron-16-5620,£719.00,Nan,"""12th Generation Intel® Core™ i5-1235U (12MB Cache, up to 4.4 GHz, 10 cores)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",719,4.3
45,inspiron-14-7420-2-in-1,£802.80,£724.80,"""12 Gen Intel® Core™ i5-1235U (12.0 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo)""","""Intel® UHD Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",724,4.5
46,inspiron-14-7415-2-in-1,£868.99,£728.99,"""AMD Ryzen™ 7 5700U Mobile Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",728,4.3
47,inspiron-14-7420-2-in-1,£749.00,Nan,"""12 Gen Intel® Core™ i5-1235U (12.0 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo)""","""Intel® UHD Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""256 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",749,4.5
48,inspiron-14-5410-2-in-1,£849.00,£759.00,"""11th Gen Intel® Core™ i7-1195G7 (12 MB cache, 4 cores, 8 threads, up to 5.00 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD 1920x1080, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",759,4.1
49,inspiron-14-7420-2-in-1,£862.80,£766.80,"""12th Generation Intel® Core™ i5-1235U (12MB Cache, up to 4.4 GHz, 10 cores)""","""Intel® UHD Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",766,4.5
50,inspiron-16-5625,£869.00,£769.00,"""AMD Ryzen™ 7 5825U 8-core/16-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",769,4.1
51,inspiron-15-5510,£862.80,£772.80,"""11th Gen Intel® Core™ i7-11390H (12 MB cache, 4 cores, 8 threads, up to 5.00 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",772,4.2
52,inspiron-14-5420,£898.99,£778.99,"""12th Generation Intel® Core™ i7-1255U (12MB Cache, up to 4.7 GHz, 10 cores)""","""Intel® Iris® Xe Graphics""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",778,4.0
53,inspiron-16-7620-2-in-1,£929.00,£779.00,"""12th Gen Intel® Core™ i5-1235U (12 MB cache, 10 cores, 12 threads, up to 4.40 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Touch, Wide Viewing Angle, 300 nit, ComfortView Plus""",779,4.3
54,inspiron-14-5420,£799.00,Nan,"""12th Generation Intel® Core™ i7-1255U (12MB Cache, up to 4.7 GHz, 10 cores)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",799,4.0
55,inspiron-14-7420-2-in-1,£799.00,Nan,"""12th Generation Intel® Core™ i5-1235U (12MB Cache, up to 4.4 GHz, 10 cores)""","""Intel® UHD Graphics""","""8GB, 1x8GB, DDR4, 3200MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",799,4.5
56,inspiron-15-5510,£899.01,£799.01,"""11th Gen Intel® Core™ i7-11390H (12 MB cache, 4 cores, 8 threads, up to 5.00 GHz Turbo)""","""NVIDIA® GeForce® MX450 with 2GB GDDR5 graphics memory""","""8 GB, 2 x 4 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, Narrow Border""",799,4.2
57,inspiron-16-5625,£934.80,£814.80,"""AMD Ryzen™ 7 5825U 8-core/16-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",814,4.1
58,inspiron-15-7510,£819.00,Nan,"""11th Gen Intel® Core™ i5-11400H (12 MB cache, 6 cores, 12 threads, up to 4.50 GHz Turbo)""","""NVIDIA® GeForce® GTX 1650, 4 GB GDDR6""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, 300 nit, Narrow Border""",819,4.0
59,inspiron-16-5620,£819.00,Nan,"""12th Generation Intel® Core™ i7-1255U (12MB Cache, up to 4.7 GHz, 10 cores)""","""Intel® UHD Graphics""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 250 nit, ComfortView""",819,4.3
60,inspiron-14-7425-2-in-1,£929.00,£839.00,"""AMD Ryzen™ 7 5825U 8-core/16-thread Processor with Radeon™ Graphics""","""AMD® Radeon™ Graphics""","""16GB, 2x8GB, DDR4, 3200MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",839,4.3
61,inspiron-15-7510,£918.99,£868.99,"""11th Gen Intel® Core™ i5-11400H (12 MB cache, 6 cores, 12 threads, up to 4.50 GHz Turbo)""","""NVIDIA® GeForce RTX™ 3050, 4 GB GDDR6""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, 300 nit, Narrow Border""",868,4.0
62,inspiron-15-7510,£982.80,£892.80,"""11th Gen Intel® Core™ i5-11400H (12 MB cache, 6 cores, 12 threads, up to 4.50 GHz Turbo)""","""NVIDIA® GeForce RTX™ 3050, 4 GB GDDR6""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, 300 nit, Narrow Border""",892,4.0
63,inspiron-16-7610,£999.00,£899.00,"""11th Gen Intel® Core™ i7-11800H (24 MB cache, 8 cores, 16 threads, up to 4.60 GHz Turbo)""","""Intel® UHD Graphics""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", 3K 3072x1920, 60Hz, Non-Touch, AG, Wide Viewing Angle, 300 nit, ComfortView Plus""",899,4.1
64,inspiron-16-7620-2-in-1,"£1,029.00",£919.00,"""12th Gen Intel® Core™ i7-1260P (18 MB cache, 12 cores, 16 threads, up to 4.70 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Touch, Wide Viewing Angle, 300 nit, ComfortView Plus""",919,4.3
65,inspiron-16-5620,£969.00,Nan,"""12th Generation Intel® Core™ i7-1255U (12MB Cache, up to 4.7 GHz, 10 cores)""","""Intel® Iris® Xe Graphics""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Non-Touch, AG, Wide Viewing Angle, 300 nit, ComfortView Plus""",969,4.3
66,inspiron-14-7420-2-in-1,£999.00,Nan,"""12 Gen Intel® Core™ i7-1255U (12.0 MB cache, 10 cores, 12 threads, up to 4.70 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""16GB, 2x8GB, DDR4, 3200MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",999,4.5
67,inspiron-15-7510,"£1,119.00","£1,019.00","""11th Gen Intel® Core™ i7-11800H (24 MB cache, 8 cores, 16 threads, up to 4.60 GHz Turbo)""","""NVIDIA® GeForce RTX™ 3050, 4 GB GDDR6""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, 300 nit, Narrow Border""",1019,4.0
68,inspiron-15-7510,"£1,069.00",Nan,"""11th Generation Intel® Core™ i7-11800H (24MB Cache, up to 4.6 GHz, 8 cores)""","""NVIDIA® GeForce RTX™ 3050 Ti, 4 GB GDDR6""","""8 GB, 1 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""15.6"", FHD 1920x1080, 60Hz, Non-Touch, AG, WVA, LED-Backlit, 300 nit, Narrow Border""",1069,4.0
69,inspiron-16-7610,"£1,099.00",Nan,"""11th Gen Intel® Core™ i7-11800H (24 MB cache, 8 cores, 16 threads, up to 4.60 GHz Turbo)""","""NVIDIA® GeForce RTX™ 3050, 4 GB GDDR6""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", 3K 3072x1920, 60Hz, Non-Touch, AG, Wide Viewing Angle, 300 nit, ComfortView Plus""",1099,4.1
70,inspiron-14-7420-2-in-1,"£1,099.00",Nan,"""12 Gen Intel® Core™ i7-1255U (12.0 MB cache, 10 cores, 12 threads, up to 4.70 GHz Turbo)""","""Intel® Iris® Xe Graphics""","""16GB, 2x8GB, DDR4, 3200MHz""","""1 TB, M.2, PCIe NVMe, SSD""","""14"", FHD+ 1920x1200, 60Hz, Touch, WVA, TrueLife™, Narrow Border, Pen Support""",1099,4.5
71,inspiron-16-7620-2-in-1,"£1,299.00","£1,154.00","""12th Gen Intel® Core™ i7-1260P (18 MB cache, 12 cores, 16 threads, up to 4.70 GHz Turbo)""","""NVIDIA® GeForce® MX550, 2 GB GDDR6""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""512 GB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Touch, Wide Viewing Angle, 300 nit, ComfortView Plus""",1154,4.3
72,inspiron-16-7620-2-in-1,"£1,398.99","£1,228.99","""12th Gen Intel® Core™ i7-1260P (18 MB cache, 12 cores, 16 threads, up to 4.70 GHz Turbo)""","""NVIDIA® GeForce® MX550, 2 GB GDDR6""","""16 GB, 2 x 8 GB, DDR4, 3200 MHz""","""1 TB, M.2, PCIe NVMe, SSD""","""16"", FHD+ 1920x1200, 60Hz, Touch, Wide Viewing Angle, 300 nit, ComfortView Plus""",1228,4.3
