Name,Location,Country,Total amount,Total amount â‚¬
TATE & LYLE EUROPE (031583),"Newham, London, England, GB-E16 2EW",GB,,594270083.69
Czarnikow Group Limited,"Islington, London, England, GB-EC1Y 4SG",GB,,21621842.66
European Commission (M),"READING, England, GB-RG1 3BU",GB,,19380039.68
T M C DAIRIES (NI) LTD,"STRABANE, Tyrone, Northern Ireland, GB-BT82 0HN",GB,,14476060.35
"PARKERS OF LEICESTER LTD,","LEICESTER, Leicestershire, England, GB-LE3 3AS",GB,,12756978.75
G Barbour & Co,"CROCKETFORD DUMFRIES, Dumfries and Galloway, Scotland, GB-DG2 8RQ",GB,,11946459.93
G'S GROWERS LTD,"East Cambridgeshire, Cambridgeshire, England, GB-CB7 5TZ",GB,,9113109.87
Ross Bros,"Strichen, Aberdeenshire, Scotland, GB-AB43 6TL",GB,,8419009.38
FARMCARE LIMITED,"GOOLE, East Riding of Yorkshire, England, GB-DN14 8EB",GB,,8342314.68
STRUTT & PARKER (FARMS) LTD,"CHELMSFORD, Essex, England, GB-CM3 2JF",GB,,7801012.79
LANTRA,"Coventry, Warwickshire, England, GB-CV8 2LG",GB,,7564103.64
"THE BIRDSALL BEEF CO LTD,","Ryedale, North Yorkshire, England, GB-YO17 9NU",GB,,7468161.25
J & T F Macfarlane Ltd,"Westruther, Scottish Borders, Scotland, GB-TD3 6NJ",GB,,7163691.98
LORD RAYLEIGHS FARMS LTD,"CHELMSFORD, Essex, England, GB-CM3 2QW",GB,,7099833.74
ELVEDEN FARMS LTD,"THETFORD, Suffolk, England, GB-IP24 3TQ",GB,,7079301.21
WIGHT SALADS (PRODUCER ORGANISATION) LTD,"NEWPORT, Isle of Wight, England, GB-PO30 3AR",GB,,6681239.64
LILBURN ESTATES FARMING PARTNERSHIP,"Berwick-upon-Tweed, Northumberland, England, GB-NE71 6QY",GB,,6639098.18
MENTER A BUSNES,"CEREDIGION, Ceredigion, Wales, GB-SY23",GB,,6490882.55
R J & A E GODFREY,"BRIGG, Lincolnshire, England, GB-DN20 0NU",GB,,6378810.27
Northumberland County Council,"Castle Morpeth, Northumberland, England, GB-NE61 2EF",GB,,5992360.87
Herefordshire Council,"HEREFORD, Herefordshire, England, GB-HR1 2PJ",GB,,5762980.9
Kevan Forsyth,"Whithorn, Dumfries and Galloway, Scotland, GB-DG8 8PG",GB,,5377853.59
AGRESERVES LTD,"HUNTINGDON, Cambridgeshire, England, GB-PE28 5YU",GB,,5362474.16
THE ASPLINS PRODUCER ORGANISATION LTD,"FAVERSHAM, Kent, England, GB-ME13 9DJ",GB,,5302725.08
MAURICE MASON LTD,"KINGS LYNN, Norfolk, England, GB-PE33 9DQ",GB,,5164756.68
LONGFORD FARMS LTD,"SALISBURY, Hampshire, England, GB-SP5 4ED",GB,,5116119.58
H R PHILPOT & SON (BARLEYLANDS) LTD,"BILLERICAY, Essex, England, GB-CM11 2UD",GB,,5033676.51
"LIMESTONE FARMING CO. LTD.,","GAINSBOROUGH, Nottinghamshire, England, GB-DN21 5SH",GB,,5014764.62
William Hamilton And Son (No 2),"Blairdrummond, Clackmannanshire, Scotland, GB-FK9 4UX",GB,,4998179.66
CRICHEL FARMS LTD,"WIMBORNE, Dorset, England, GB-BH21 5DR",GB,,4933901.44
R P A ( M ),"READING, England, GB-RG1 3BU",GB,,4816320.49
STOWELL PARK ESTATE LTD,"CHELTENHAM, Gloucestershire, England, GB-GL54 3LQ",GB,,4753115.64
Agreserves Ltd,"Huntingdonshire, Cambridgeshire, England, GB-PE28 5YU",GB,,4656120.2
John C McIntosh,"Dyce, Aberdeen City, Scotland, GB-AB21 0HS",GB,,4385420.09
ALCAN FARMS LTD,"MORPETH, Northumberland, England, GB-NE61 5JL",GB,,4338950.86
FREDERICK HIAM LTD,"BURY ST EDMUNDS, Suffolk, England, GB-IP31 1QH",GB,,4331933.4
J R Graham Ltd,"Dunshelt, Perth and Kinross, Scotland, GB-KY14 7ER",GB,,4257233.52
J C Innes & Sons,"Huntly, Aberdeenshire, Scotland, GB-AB54 4SA",GB,,4215198.91
WOBURN FARMING PARTNERSHIP,"WOBURN, Buckinghamshire, England, GB-MK17 9PQ",GB,,4184570.48
WARTER PRIORY FARMS,"East Riding of Yorkshire, England, GB-YO42 1XA",GB,,4183175.03
Fruition Po Limited,"Swale, Kent, England, GB-ME13 7TZ",GB,,4120814.66
Strutt & Parker (Farms) Ltd,"Chelmsford, Essex, England, GB-CM3 2JF",GB,,4115578.59
THE NATIONAL TRUST,"Swindon, Wiltshire, England, GB-SN2 2NA",GB,,4068195.55
IAN WHITE LTD,"RHYND, Perth and Kinross, Scotland, GB-PH2 8PT",GB,,3967929.47
MAWTHORPE FARMS LTD,"East Lindsey, Lincolnshire, England, GB-LN13 9LY",GB,,3910258.76
Blankney Estates Ltd,"Lincoln, Lincolnshire, England, GB-LN4 3BL",GB,,3906411.19
RAYNHAM FARM CO LTD,"FAKENHAM, Norfolk, England, GB-NR21 7EH",GB,,3902098.65
HYBU CIG CYMRU MEAT PROMOTION WALES,"CEREDIGION, Ceredigion, Wales, GB-SY23",GB,,3847792.8
EMMETT BROS,"MAIDENHEAD, Buckinghamshire, England, GB-SL6 3SU",GB,,3843563.19
Duchy Rural Business School c/o Cornwall College,"Kerrier, Cornwall, England, GB-TR15 3RD",GB,,3776664.84
COMPTON BEAUCHAMP ESTATES LIMITED,"FARINGDON, Oxfordshire, England, GB-SN7 7QL",GB,,3757237.76
Stracathro & Careston Ests Ltd,"Laurencekirk, Aberdeenshire, Scotland, GB-AB30 1QR",GB,,3681781.1
RAMSBURY ESTATES LTD,"MARLBOROUGH, Berkshire, England, GB-SN8 2HA",GB,,3644601.03
NORMAN JACKSON (FARMERS) LIMITED,"North Lincolnshire, Lincolnshire, England, GB-DN15 0AB",GB,,3639624.76
MACFARLANE FARMS LTD,"DUNS, East Lothian, Scotland, GB-TD11 3RS",GB,,3625440.22
North Yorkshire County Council,"Hambleton, North Yorkshire, England, GB-DL7 8AD",GB,,3610668.31
THE MANYDOWN COMPANY LTD,"Basingstoke and Deane, Hampshire, England, GB-RG23 8PE",GB,,3600924.87
ZODIAC FARMS LTD,"WARMINSTER, Somerset, England, GB-BA12 0QD",GB,,3557539.13
G & B DOBSON LTD,"East Lindsey, Lincolnshire, England, GB-LN11 0RY",GB,,3505304.05
Sunwick Farm Ltd,"Paxton, Scottish Borders, Scotland, GB-TD15 1XG",GB,,3488934.0
Wesley Gracey,"Moss-side of Gight, Aberdeenshire, Scotland, GB-AB53 8LY",GB,,3485820.1
Southesk Farms,"Brechin, Aberdeenshire, Scotland, GB-DD9 6UA",GB,,3455786.23
G Mcdougal (Bassendean)Ltd,"Gordon, Scottish Borders, Scotland, GB-TD3 6LU",GB,,3446034.92
Lour Farms,"Ladenford, Angus, Scotland, GB-DD8 2LF",GB,,3438227.48
M/S John Stevenson & Co,"Anstruther, Fife, Scotland, GB-KY10 3LA",GB,,3424254.99
Charles M Kirkpatrick,"Lockerbie, Dumfries and Galloway, Scotland, GB-DG11 2DQ",GB,,3408926.61
Mr R McBride & Son,"Carrutherstown Road, Dumfries and Galloway, Scotland, GB-DG1 4LQ",GB,,3383836.61
Dalmahoy Farms,"Kirknewton, West Lothian, Scotland, GB-EH27 8EB",GB,,3329853.88
THE BELVOIR ESTATE,"GRANTHAM, Lincolnshire, England, GB-NG32 1NN",GB,,3218945.66
Auchtydore Farms,"PETERHEAD, Aberdeenshire, Scotland, GB-AB42 5BB",GB,,3201445.67
Glenmore Properties Ltd,"Craigellachie, Moray, Scotland, GB-AB38 9QT",GB,,3187701.59
M/S A S & H M McGimpsey,"Brydekirk, Dumfries and Galloway, Scotland, GB-DG12 5NQ",GB,,3178941.04
Dunecht Home Farms,"Dunecht, Aberdeen City, Scotland, GB-AB32 7AW",GB,,3150011.57
Waldersey Farms Ltd,"King's Lynn and West Norfolk, Norfolk, England, GB-PE38 0HT",GB,,3148354.14
GROSVENOR FARMS LTD,"CHESTER, Cheshire, England, GB-CH3 6HJ",GB,,3147626.38
Hugh Gordon (A Firm),"Stonehaven, Aberdeenshire, Scotland, GB-AB39 2XY",GB,,3134932.7
DALE FARM LTD,"BELFAST, Down, Northern Ireland, GB-BT3 9LS",GB,,3090420.35
NORTHWAY MUSHROOMS LTD,"DUNGANNON, Dungannon, Northern Ireland, GB-BT71 7EF",GB,,3080794.62
F J BUNNEY & SONS,"WINCHESTER, Hampshire, England, GB-SO21 1HN",GB,,3058414.04
ST GILES FARMS LTD,"WIMBORNE, Dorset, England, GB-BH21 5NA",GB,,3053389.44
